Comment,Time,User
Mình xài a7 2018 đc 4thang. Muốn đổi qua con này bù trừ sao ad. Máy còn như mới,1 phút trước ,Huynh Trung Hieu
Ad cho e hỏi là máy lâu lâu bị giật giật với bị đơ sài rất khó chịu đã reset nhiều lần mà vẫn bị giờ e phải làm sao để hết ạ,48 phút trước ,Trường
ko cần đến cưả hàng tggd có làm được thủ tục mua trả góp được ko.,55 phút trước ,Hai Lam
Mik trả trc 60% lun dc k. Để nhữg thág sau mik nhẹ tiền lại,1 giờ trước ,Thạn
Mình mới mua samsung a50  được một tuần bây giờ muốn trả có được ko,1 giờ trước ,Hoàng Thành
"Ko có sổ hộ khẩu có tham gia mua trả góp được ko,trước đây tôi cũng tham gia mua trả góp rồi bây giờ có phải xét duyệt lai hồ sơ ko?",1 giờ trước ,Hai Lam
"Mình muốn đổi Nokia 6.1, lấy sámung a50 bù nhiêu vay",1 giờ trước ,Trung
Tíh ra cũg hơn giá gốc mà. Chêh lệch 139k,2 giờ trước ,Thạn
"Để trong túi quần. Tự nó mở khóa lun. Làm sao tắt dc z. Dag xài khóa vân tay,khuon mặt, vẽ hình",2 giờ trước ,Dương
"A50 có thao tác được vs trợ lí bixby k v ad? Tôi thấy trên con máy a7 của tôi cũng ghi là có hỗ trợ trợ lí bixby. Song, lại chỉ dùng đc Bixby vision. Mong ad duyệt sớm.",10 giờ trước ,Phương
